MCC	MNC	COUNTRY	OPERATOR
238	1	Denmark	TDC-DK
238	2	Denmark	Sonofon DK 
238	3	Denmark	MIGway A/S DK 
240	1	Sweden	Telia Sonera-SE
240	2	Sweden	H3G-SE
240	3	Sweden	AINMT Sverige AB SE 
240	20	Sweden	iMEZ AB SE 
240	21	Sweden	Banverket SE 
302	36	Canada	Clearnet CA 
302	37	Canada	Microcell CA 
302	62	Canada	Ice Wireless CA 
302	63	Canada	Aliant Mobility CA 
310	10	United States of America	Verizon Wireless
310	12	United States of America	Verizon Wireless
310	13	United States of America	Verizon Wireless
310	540	United States of America	Oklahoma Western Telephone Company US 
310	550	United States of America	Wireless Solutions International US 
310	560	United States of America	AT&T Mobility
310	570	United States of America	MTPCS LLC US 
310	580	United States of America	Inland Cellular Telephone Company US 
310	590	United States of America	Verizon Wireless
340	1	Guadeloupe-France	Orange-Caraibe
340	2	Guadeloupe-France	Outremer Telecom GP 
340	3	Guadeloupe-France	Saint Martin et Saint Barthelemy Telcell Sarl GP 
344	30	Antigua and Barbuda	APUA PCS AG 
344	920	Antigua and Barbuda	Cable & Wireless-Antigua AG 
344	930	Antigua and Barbuda	AT&T Wireless-Antigua AG 
405	0	India	Shyam Telelink Ltd-Rajasthan IN 
405	1	India	Reliance Infocomm-IN
405	3	India	Reliance Infocomm-IN
405	4	India	Reliance Infocomm-IN
405	5	India	Reliance Infocomm-IN
440	9	Japan	NTT DoCoMo
440	10	Japan	NTT DoCoMo
440	11	Japan	NTT DoCoMo
505	62	Australia	NBNCo Ltd AU 
505	68	Australia	NBNCo Ltd AU 
505	71	Australia	Telstra
505	72	Australia	Telstra
505	88	Australia	Localstar Holding Pty. Ltd. AU 
505	90	Australia	Optus Ltd. AU 
