TAC	MARKETING NAME	MANUFACTURER	ACCESS CAPABILITY	MODEL	VENDOR NAME	UE TYPE	OS	INPUT_MODE
100100	G410	Mitsubishi	GSM 1800, GSM 900	G410	Mitsubishi	(null)	(null)	(null)
100200	A53	Siemens	GSM 1900, GSM850 (GSM800)	A53	Siemens	HANDHELD	(null)	BASIC
100300	TBD (AAB-1880030-BV)	Sony Ericsson	GSM 1900, GSM850 (GSM800)	TBD (AAB-1880030-BV)	Sony Ericsson	HANDHELD	(null)	(null)
100400	RM-669	Nokia	GSM 1900, GSM850 (GSM800)	RM-669	Nokia	(null)	(null)	(null)
100500	M930 NA DB	Motorola	GSM 1900, GSM850 (GSM800)	M930 NA DB	Motorola	HANDHELD	(null)	(null)
100600	EBX700	Panasonic	GSM 1800, GSM 1900, GSM 900	EBX700	Panasonic	(null)	(null)	(null)
100700	Test IMEI	Sagem	GSM 1900	Test IMEI	Sagem	(null)	(null)	(null)
100800	TCD718	Philips	GSM 1900	TCD718	Philips	(null)	(null)	(null)
100900	Test IMEI	Sony	GSM 1900	Test IMEI	Sony	(null)	(null)	(null)
101000	Test IMEI	Casio Hitachi Mobile Communications	GSM 1900	Test IMEI	Casio Hitachi Mobile Communications	(null)	(null)	(null)
101300	LMU	Nortel	GSM 1900	LMU	Nortel	(null)	(null)	(null)
101500	GX-28	Sharp	GSM 1800, GSM 1900, GSM850 (GSM800)	GX-28	Sharp	HANDHELD	(null)	(null)
101600	ALCATEL OT-807A	TCT Mobile Suzhou Limited	GSM 1900, GSM850 (GSM800)	ALCATEL OT-807A	TCT Mobile Suzhou Limited	(null)	(null)	(null)
101700	Wireless CPU Q2687	Wavecom	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	Wireless CPU Q2687	Wavecom	M2M	(null)	(null)
101710	WMO2-g1900	Wavecom	GSM 1900	WMO2-g1900	Wavecom	M2M	(null)	(null)
101800	Ovation MC547	Novatel Wireless	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II, WCDMA FDD Band V	Ovation MC547	Novatel Wireless	PC	(null)	(null)
102000	RAP40GW	RIM	GSM 1800, GSM 900	RAP40GW	RIM	HANDHELD	BLACKBERRY	QWERTY
102100	MX-5010	Shintom Co. Ltd	GSM 1800, GSM 1900, GSM 900	MX-5010	Shintom Co. Ltd	(null)	(null)	(null)
102200	Zoarmon	Intel	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	Zoarmon	Intel	(null)	(null)	(null)
102300	SGH-t829	Samsung	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	SGH-t829	Samsung	HANDHELD	(null)	(null)
102400	Telguard 5 (TG5)	Telular Corp	GSM 1900, GSM850 (GSM800)	Telguard 5 (TG5)	Telular Corp	(null)	(null)	(null)
102500	Fizgig	Option NV	GSM 1800, GSM 1900, GSM 900	Fizgig	Option NV	(null)	(null)	(null)
102600	KMP6J1S1-6	NEC	GSM 1800, GSM 1900, GSM 900	KMP6J1S1-6	NEC	(null)	(null)	(null)
102700	USB316	Sierra Wireless	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II	USB316	Sierra Wireless	PC	(null)	(null)
102800	U1	Danger Inc.	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800)	U1	Danger Inc.	(null)	(null)	(null)
102900	Ferry	Quanta Computer	GSM 1900	Ferry	Quanta Computer	(null)	(null)	(null)
103000	700C	Intermec Technologies Corp.	GSM 1800, GSM 1900, GSM 900	700C	Intermec Technologies Corp.	(null)	(null)	(null)
103100	K1	Sendo Ltd	GSM 1900, GSM850 (GSM800)	K1	Sendo Ltd	(null)	(null)	(null)
103200	7525 Workabout pro	Psion Teklogix Inc.	GSM 1800, GSM 1900, GSM 900	7525 Workabout pro	Psion Teklogix Inc.	(null)	(null)	(null)
103300	Benefon Track Box	benefon oyj	GSM 1900, GSM 900	Benefon Track Box	benefon oyj	(null)	(null)	(null)
103500	AD600	LG	GSM 1800, GSM 1900, GSM 900, GSM850 (GSM800), WCDMA FDD Band I, WCDMA FDD Band II, WCDMA FDD Band V	AD600	LG	HANDHELD	(null)	(null)
103600	GSM5108	Enfora	GPRS	GSM5108	Enfora	M2M	(null)	(null)
